cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0
10	1	22848	0	0.000451073	0.0174979	1	0.999847	-0.000152975	0.0170468
10	1	41209	0	0.0174979	0.0128558	0.999847	0.999917	7.04544e-05	-0.00464206
10	1	50969	0	0.0128558	0.011328	0.999917	0.999936	1.84741e-05	-0.00152779
10	1	55279	0	0.011328	0.0280487	0.999936	0.999607	-0.000329148	0.0167207
10	1	67278	0	0.0280487	0.029976	0.999607	0.999551	-5.59142e-05	-0.0580247
10	1	68075	0	0.029976	0.00618278	0.999551	0.999981	0.000430259	0.0237932
10	1	68325	0	0.00618278	0.0210028	0.999981	0.999779	-0.000201425	0.0271856
10	1	75230	0	0.0210028	0.0110757	0.999779	0.999939	0.000159236	-0.00992708
10	1	80614	0	0.0110757	0.00545069	0.999939	0.999985	4.64819e-05	-0.00562504
10	1	84100	0	0.00545069	0.0135748	0.999985	0.999908	-7.72802e-05	0.00812415
10	1	96275	0	0.0135748	0.0149047	0.999908	0.999889	-1.89371e-05	0.00132988
10	2	15090	0	0.0148715	0.0240241	0.999889	0.999711	-0.000177984	0.0388956
10	2	23883	0	0.0240241	0.0196216	0.999711	0.999808	9.60802e-05	-0.00440251
10	2	51098	0	0.0196216	0.0323841	0.999808	0.999476	-0.000331806	-0.0520057
10	2	52982	0	0.0323841	0.0186683	0.999476	0.999826	0.000350173	0.0510524
10	2	59601	0	0.0186683	0.0108432	0.999826	0.999941	0.000115473	-0.00782517
10	2	75226	0	0.0108432	0.00730654	0.999941	0.999973	3.20948e-05	-0.00353662
10	2	75830	0	0.00730654	0.0104251	0.999973	0.999946	-2.76479e-05	-0.0177316
10	2	86822	0	0.0104251	0.00104566	0.999946	0.999999	5.37958e-05	0.00937941
10	2	91607	0	0.00104566	0.0112777	0.999999	0.999936	-6.3045e-05	-0.0102321
10	2	95742	0	0.0112777	0.00663231	0.999936	0.999978	4.16008e-05	0.01791
11	1	8119	0	0.0149047	0.0186926	0.999889	0.999825	-6.36287e-05	0.00378785
11	1	16577	0	0.0186926	0.0244354	0.999825	0.999701	-0.000123832	0.00574287
11	1	24355	0	0.0244354	0.000139783	0.999701	1	0.00029858	-0.0245752
11	1	34810	0	0.000139783	0.0178888	1	0.99984	-0.000159983	0.0180286
11	1	36439	0	0.0178888	0.0141723	0.99984	0.9999	5.95796e-05	-0.00371651
11	1	51448	0	0.0141723	0.0264732	0.9999	0.99965	-0.000249958	-0.0406456
11	1	57738	0	0.0264732	0.00945582	0.99965	0.999955	0.000305756	0.0359291
11	1	59544	0	0.00945582	0.00356458	0.999955	0.999994	3.83539e-05	-0.0130204
11	1	73496	0	0.00356458	0.0146669	0.999994	0.999892	-0.000101201	-0.0111024
11	1	75292	0	0.0146669	0.00928179	0.999892	0.999957	6.44859e-05	0.0239487
11	1	95371	0	0.00928179	0.0193916	0.999957	0.999812	-0.00014493	0.0101098
